Name,Rating_yelp,Location,latitude,longitude,Rating_foursquare
Breik,,"Carrer dels Tallers, 72, Barcelona, ES",,,4.7
Le Romane,,"Carrer de Muntaner, 103, Barcelona, ES",,,4.9
EatMyTrip Brunch & Bakery Barcelona,,"Carrer del Consell de Cent, 378, Barcelona, ES",,,4.4
Quimet & Quimet,,"Carrer del Poeta Cabanyes, 25, Barcelona, ES",,,4.6
Chez Cocó,,"Avinguda Diagonal, 465, Barcelona, ES",,,4.5
La Paradeta,,"Passatge de Simó, 18, Barcelona, ES",,,4.4
Sucursal Aceitera,,"Carrer del Comte Borrell, 36, Barcelona, ES",,,4.9
Tosca,,"Carrer de Sant Pere Més Alt, 8, Barcelona, ES",,,4.3
Jansana,,"Carrer de Balmes, 106, Barcelona, ES",,,4.8
Tucco Real Food Born,,"Carrer del Consolat de Mar, 23, Barcelona, ES",,,4.7
Tickets,,"Avenida del Paral·lel, 164, Barcelona, ES",,,4.5
La Flauta,,"Carrer d'Aribau, 23, Barcelona, ES",,,4.3
El Pintxo de Petritxol,,"Carrer de Petritxol, 9, Barcelona, ES",,,4.2
Bo de Boqueria,,"Carrer Petxina, 5-7, Barcelona, ES",,,4.6
Vinitus Germà Petit,,"Carrer d'Aragó, 282, Barcelona, ES",,,4.8
The Venue Steakhouse,,"Carrer del Rosselló, 365, Barcelona, ES",,,4.8
Ugot Bruncherie,,"Carrer de Viladomat, 138, Barcelona, ES",,,4.6
Federal,,"Passatge de la Pau, 11, Barcelona, ES",,,4.4
Encercle,,"Carrer de Còrsega, 372, Barcelona, ES",,,4.8
Bodega Biarritz 1881,,"Carrer del Vidre, 8, Barcelona, ES",,,4.4
