Unnamed: 0_x,name,latitude,longitude,free_bikes,rental_name,rental_address,Unnamed: 0_y,poi_name,poi_lat,poi_lon,Name,Rating_yelp,Location,Rating_foursquare
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,44.0,Bar Torrente,41.433045,2.193419,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,45.0,Jack & Jones,41.439881,2.197644,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,46.0,Starbucks,41.441927,2.198533,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,47.0,Sephora,41.440071,2.198308,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,48.0,La Tagliatella,41.440583,2.198379,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,49.0,Five Guys la Maquinista,41.441056,2.198693,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,50.0,Fnac,41.44056,2.198743,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,51.0,Biblioteca Ignasi Iglésias - Can Fabra,41.434329,2.191282,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,52.0,Avis,41.431177,2.192244,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,53.0,Pastelería Buenavista,41.442223,2.20004,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,54.0,Mango,41.442698,2.200206,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,55.0,Hollister Co,41.440821,2.198272,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,56.0,VIPS la Maquinista,41.442745,2.200155,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,57.0,Xurreria xocolateria Sant Andreu,41.434951,2.189563,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,58.0,Casa del Libro,41.442698,2.200206,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,59.0,Foster's Hollywood,41.440734,2.198077,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,60.0,Casa Arana,41.435409,2.189268,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,61.0,BMW Barcelona,41.432008,2.210833,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,62.0,Casa Ametller,41.432317,2.189206,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,63.0,Rituals,41.44265,2.200257,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,64.0,Estadi Narcís Sala - UE Sant Andreu,41.428821,2.192933,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,65.0,City Self Storage,41.433232,2.206555,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,66.0,Several cafè,41.432596,2.189196,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,67.0,Leroy Merlin,41.441169,2.197997,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,68.0,Productos Alimenticios Belros,41.441069,2.199831,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,69.0,Parc Fluvial del Besòs,41.437006,2.211262,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,70.0,Enrique Tomás,41.442698,2.200206,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,71.0,Restaurante,41.443,2.202642,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,72.0,La Virgueria,41.430228,2.195079,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,73.0,Restuc,41.429361,2.203006,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,74.0,Contra Colados Garce,41.428756,2.200965,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,75.0,Restaurante Regino,41.428686,2.200175,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,76.0,Moonlight Iluminacion,41.432696,2.208469,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,77.0,Mastertent,41.428691,2.200554,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,78.0,Bar los Alpes,41.430302,2.194266,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,79.0,Forn de Pa,41.430149,2.194587,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,80.0,Restaurante Balmes,41.431594,2.207532,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,81.0,Aro Welding Technologies,41.440969,2.205886,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,82.0,Junca Restaurante,41.428934,2.203844,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,83.0,Stocks Piscinas,41.431372,2.207193,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,84.0,Wok You,41.443107,2.201017,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,85.0,Comerco Cash & Carry,41.429082,2.205125,,,,
1.0,"C/ SANT ADRIÀ, 88",41.43546,2.200157,5.0,,,86.0,Ingoprint,41.44228,2.204969,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,87.0,Marquesina Vía Julia,41.443452,2.178472,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,88.0,Castell de Torre Baró,41.448196,2.173903,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,89.0,La Freidu,41.442408,2.17835,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,90.0,Ateneu Popular de Nou Barris,41.44862,2.180072,,,,
